model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds
HistGradientBoosting,0.18,0.7191136735615594,0.49343874205445426,0.5680117442702327,0.335376287674121,0.8161826122234684,0.47540476579359814,0.26495792067290896,130089,135552,15405,68401,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.19,0.7191136735615594,0.49343874205445426,0.5836249846185545,0.34184581152235105,0.7955993604276543,0.47821612103868344,0.2685545497724459,137270,128371,17130,66676,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.2,0.7191136735615594,0.49343874205445426,0.5977015112449098,0.34767771291208793,0.7731665990501874,0.4796612553391518,0.27003210004859995,144069,121572,19010,64796,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.21,0.7191136735615594,0.49343874205445426,0.6117236662498176,0.3542039054332063,0.7519151373410018,0.4815598826190622,0.2728065852048215,150750,114891,20791,63015,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.22,0.7191136735615594,0.49343874205445426,0.6240488543327029,0.3601314915112703,0.7307352695511061,0.48248015599456384,0.27432464183022326,156832,108809,22566,61240,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.23,0.7191136735615594,0.49343874205445426,0.6347944037293209,0.3653467902539768,0.709245161444288,0.4822676046053112,0.2743870224156142,162388,103253,24367,59439,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.24,0.7191136735615594,0.49343874205445426,0.6445669872684556,0.37023903589071544,0.6877073240579433,0.4813402763568336,0.27375720127043324,167608,98033,26172,57634,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.25,0.7191136735615594,0.49343874205445426,0.6550893268507099,0.3760848731896284,0.6649404577237906,0.48043796879041295,0.2738158513987995,173193,92448,28080,55726,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.26,0.7191136735615594,0.49343874205445426,0.665703239690139,0.38222009746908603,0.6391785790993485,0.4783771594932865,0.27289755157505324,179061,86580,30239,53567,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.27,0.7191136735615594,0.49343874205445426,0.6747117588647206,0.387866363288202,0.6163162542061428,0.4761053218603236,0.27206362134532813,184125,81516,32155,51651,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.28,0.7191136735615594,0.49343874205445426,0.6841094643822955,0.39389584780335146,0.588728730639811,0.47199674742305026,0.2697217635860115,189721,75920,34467,49339,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.29,0.7191136735615594,0.49343874205445426,0.693429904964129,0.4007979040133381,0.562215115862826,0.467978387397946,0.2684330495218608,195200,70441,36689,47117,hist_gradient_boosting,27.134213800003636
