model,model_family,run_label,eval_scope,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,fit_seconds,train_rows,eval_rows
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.55,0.7177052955900657,0.6222118111793129,0.6559049011724238,0.37589831270478125,0.6584612080280648,0.4785849641601152,0.2712507284867152,174021,91620,28623,55183,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.56,0.7177052955900657,0.6222118111793129,0.6632908566964375,0.38007934258996884,0.6401928262892872,0.4769787434545665,0.2704197391738414,178133,87508,30154,53652,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.57,0.7177052955900657,0.6222118111793129,0.6720332410923545,0.3853472599629252,0.6176288093931223,0.47459072383772904,0.26931310028846595,183079,82562,32045,51761,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.58,0.7177052955900657,0.6222118111793129,0.6814910415599504,0.3913648144636197,0.5909839390974393,0.47089247853659,0.26742890190585095,188617,77024,34278,49528,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.59,0.7177052955900657,0.6222118111793129,0.6913723683419803,0.3981444609192968,0.5607116435577405,0.4656470016994416,0.2647989067680209,194607,71034,36815,46991,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.6,0.7177052955900657,0.6222118111793129,0.7012823117668774,0.4062841530054645,0.5323007899195762,0.460832825428964,0.26388822115493044,200451,65190,39196,44610,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.61,0.7177052955900657,0.6222118111793129,0.7091289952410523,0.41296498692376754,0.5049638450707586,0.4543541512330767,0.2612056698254349,205484,60157,41487,42319,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.62,0.7177052955900657,0.6222118111793129,0.7170930069509825,0.42054654267951574,0.47541942104383933,0.446302654203095,0.25814064941842096,210743,54898,43963,39843,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.63,0.7177052955900657,0.6222118111793129,0.7242586143249191,0.428118163178814,0.4459823878958547,0.4368677275888469,0.25449322064508867,215714,49927,46430,37376,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.64,0.7177052955900657,0.6222118111793129,0.7305571374199807,0.43546737829209897,0.41668854258644966,0.42587104720789276,0.25005962751004995,220370,45271,48885,34921,54.76021489998675,300000,349447
