model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
Logistic Regression,0.12,0.7062384128155927,0.6341796878072375,0.26559,0.2459393652978826,0.9982069885747644,0.39464552131158354,0.08664806239500056,2620,73398,43,23939
Logistic Regression,0.13,0.7062384128155927,0.6341796878072375,0.26819,0.24651450358081303,0.9975398215328163,0.3953332727407934,0.08985149318882818,2896,73122,59,23923
Logistic Regression,0.14,0.7062384128155927,0.6341796878072375,0.27035,0.24701738438813772,0.9971645400717205,0.3959500964459861,0.09287714822107533,3121,72897,68,23914
Logistic Regression,0.15,0.7062384128155927,0.6341796878072375,0.27327,0.24767057409077248,0.9964139771495288,0.3967293404723364,0.09630297706413436,3431,72587,86,23896
Logistic Regression,0.16,0.7062384128155927,0.6341796878072375,0.27584,0.24826403326403326,0.995871903927946,0.397447205072307,0.0995049656701713,3701,72317,99,23883
Logistic Regression,0.17,0.7062384128155927,0.6341796878072375,0.27952,0.24913361169102297,0.9952047368859979,0.39850728824030324,0.10417783252220991,4085,71933,115,23867
Logistic Regression,0.18,0.7062384128155927,0.6341796878072375,0.28351,0.24999213267457596,0.9937453089817363,0.3994870634381836,0.10765054538695255,4519,71499,150,23832
Logistic Regression,0.19,0.7062384128155927,0.6341796878072375,0.28887,0.25117467557836276,0.991910599616379,0.4008459082139036,0.11248999673455716,5099,70919,194,23788
Logistic Regression,0.2,0.7062384128155927,0.6341796878072375,0.29581,0.25273952908852754,0.9896172129096823,0.40264664715612675,0.11874830006839962,5848,70170,249,23733
Logistic Regression,0.21,0.7062384128155927,0.6341796878072375,0.30325,0.2544891840484864,0.9874906179634726,0.4046856176146413,0.12577837503863382,6643,69375,300,23682
Logistic Regression,0.22,0.7062384128155927,0.6341796878072375,0.31029,0.25610694885667507,0.9849470436160453,0.40651218022080143,0.13143006165852011,7408,68610,361,23621
Logistic Regression,0.23,0.7062384128155927,0.6341796878072375,0.31792,0.2578674200118258,0.9819864898674006,0.40847122489332915,0.13715186448974842,8242,67776,432,23550
Logistic Regression,0.24,0.7062384128155927,0.6341796878072375,0.32695,0.2599647618097803,0.9782336752564423,0.41076822061720286,0.14348609865115103,9235,66783,522,23460
Logistic Regression,0.25,0.7062384128155927,0.6341796878072375,0.33702,0.2624031443009545,0.9743557668251188,0.4134581357491684,0.15083196637005175,10335,65683,615,23367
Logistic Regression,0.26,0.7062384128155927,0.6341796878072375,0.34697,0.26493042518574145,0.9709365357351347,0.416275598222985,0.1584423265233207,11412,64606,697,23285
Logistic Regression,0.27,0.7062384128155927,0.6341796878072375,0.35804,0.2677907379605035,0.9668918355433241,0.4194190210903303,0.16646482807032567,12616,63402,794,23188
Logistic Regression,0.28,0.7062384128155927,0.6341796878072375,0.37009,0.270818400799013,0.9610541239262781,0.42256180846480335,0.17353842618031756,13961,62057,934,23048
Logistic Regression,0.29,0.7062384128155927,0.6341796878072375,0.38191,0.27378631487040866,0.954507547327162,0.4255188631019323,0.17966823508157717,15300,60718,1091,22891
Logistic Regression,0.3,0.7062384128155927,0.6341796878072375,0.39439,0.27706334791989173,0.947794178967559,0.42878297695739526,0.18642009189014816,16709,59309,1252,22730
Logistic Regression,0.31,0.7062384128155927,0.6341796878072375,0.40658,0.2804653934983982,0.9418313735301476,0.43222090397642465,0.19362511517742004,18071,57947,1395,22587
Logistic Regression,0.32,0.7062384128155927,0.6341796878072375,0.41981,0.2841962440242959,0.93453423400884,0.4358488181013778,0.2007421367722552,19569,56449,1570,22412
Logistic Regression,0.33,0.7062384128155927,0.6341796878072375,0.43235,0.2877930686275779,0.92694520890668,0.4392195603852803,0.20699918803665054,21005,55013,1752,22230
Logistic Regression,0.34,0.7062384128155927,0.6341796878072375,0.44594,0.2917340473476313,0.9177299641397715,0.44273012552301255,0.21310521073570546,22585,53433,1973,22009
Logistic Regression,0.35,0.7062384128155927,0.6341796878072375,0.4616,0.2966741120069732,0.9083062296722542,0.4472619756483174,0.22132739599484932,24377,51641,2199,21783
